slug,short_text,long_text
guiana,"The small countries of Guyana and Suriname, with neighboring French Guiana, are still 70 to 90 percent covered by pristine Amazon-related but distinctive rain forests. Their faunas and floras are exceptionally rich and remain among the least explored in the world.","The small countries of Guyana and Suriname, with neighboring French Guiana, are still 70 to 90 percent covered by pristine Amazon-related but distinctive rain forests. Their faunas and floras are exceptionally rich and remain among the least explored in the world."
cloud,"These cool, rain-soaked environments are distinct in both climate, and biodiversity from the lowland forests below. Many are poorly explored, and contain large numbers of still-unknown species.
Preliminary analyses of the mapped information indicate this is a region of exceptional species richness and rarity for many taxonomic groups individually—including mammals, birds, and amphibians—as well as in aggregate.","These cool, rain-soaked environments are distinct in both climate and biodiversity from the lowland forests below. Many are poorly explored, and contain large numbers of still-unknown species. The finding of the olinguito, the first sizable carnivorous mammal discovered in a century, is emblematic of what remains hidden."
congo,"It is invested by tropical rain forest, constituting one of the world's three great rain forest wildernesses (the other two are the Amazon and New Guinea). Although under heavy siege from logging and conversion to agriculture, it remains home to more than three thousand unique plants and an immense fauna, including gorillas, okapi, forest elephants, and other famously spectacular species of large animals.","The basin of the Congo River, its 3.4 million square kilometers spanning the Republic of the Congo, the Democratic Republic of the Congo, the Central African Republic, and parts of Cameroon, Gabon, Angola, Zambia, and Tanzania, is the second largest drainage system in the world, exceeded only by the Amazon. It is invested by tropical rain forest, constituting one of the world’s three great rain forest wildernesses (the other two are the Amazon and New Guinea). Although under heavy siege from logging and conversion to agriculture, it remains home to more than three thousand unique plants and an immense fauna, including gorillas, okapi, forest elephants, and other famously spectacular species of large animals. Five of the rain forest parks of the Congo are United Nations World Heritage sites."
galapagos,"Giant tortoises, marine iguanas, herbs of the sunflower family that transmuted into trees, finches evolved from a single ancestor to fill a half-dozen bird niches, and more, make the islands both a laboratory and a classroom of evolutionary biology","This equatorial archipelago 926 kilometers west of the Ecuadorian mainland has acquired iconic status because of Charles Darwin’s five-week visit there in 1835. Homeward bound, he noticed that mockingbirds differ from one island to the next, causing him to conceive of evolution. But the Galápagos are special for another reason: from just a very few species able to cross the ocean and colonize the islands have evolved many species that are specially adapted to the barren volcanic landscape. Giant tortoises, marine iguanas, herbs of the sunflower family that transmuted into trees, finches evolved from a single ancestor to fill a half-dozen bird niches, and more, make the islands both a laboratory and a classroom of evolutionary biology."
amazon,"This endless world of ecosystems, the largest drainage system in the world, also contains the greatest area of rain forest and the most biodiverse surrounding savannas. It feeds fifteen thousand primary and secondary tributaries of the Amazon River and covers seven and a half million square kilometers, 40 percent of the area of the continent. Its biodiversity, if its Andean headwaters are included, is the largest in the world.","This endless world of ecosystems, the largest drainage system in the world, also contains the greatest area of rain forest and the most biodiverse surrounding savannas. It feeds fifteen thousand primary and secondary tributaries of the Amazon River and covers seven and a half million square kilometers, 40 percent of the area of the continent. Its biodiversity, if its Andean headwaters are included, is the largest in the world. The main stream commences in alpine rivulets of the Peruvian Andes. Running at an average velocity of 2.4 kilometers an hour and average depth of more than 45.7 meters, it moves thirty trillion liters of water each day through a deltaic mouth 402 kilometers wide. Its rate of discharge is eleven times that of the Mississippi River and sixty times that of the Nile. Its dimensions, when all of the tributaries are added, are matched by an immense diversity of fish and other freshwater animals and plants. The floodplain forests that clothe its banks, their ground and lower tree trunks underwater during the wet season, when combined with the inland terra firma rain forests, are reservoirs of an even greater diversity of animals and plants."
serengeti,"Arguably the most famous terrestrial wildland ecosystem in the world is the great Serengeti (which means, in the Maasai language, ""endless plains""), spanning the vast area from northern Tanzania to southwestern Kenya. A substantial portion of its area, as well as that of Kenya, is protected by national parks, conservation areas, and game reserves. The faunas and floras, including especially the large mammals, are the closest we have to the originals that have populated the African tropical grasslands and savannas since Pleistocene times.
","Arguably the most famous terrestrial wildland ecosystem in the world is the great Serengeti (which means, in the Maasai language, “endless plains”), spanning a vast area from northern Tanzania to southwestern Kenya. A substantial portion of its area, as well as that of Kenya, is protected by national parks, conservation areas, and game reserves. The faunas and floras, including especially the large mammals, are the closest we have to the originals that have populated the African tropical grasslands and savannas since Pleistocene times."
borneo,"The island as a whole has lost a substantial fraction of its rain forest due to settlement and conversion to oil palm plantations. The damage has been what Science reported in 2007: 'Palm oil plantations are spreading, sales of the biofuel soar, invasive acacia trees are on a rampage, and wildfires ravage the island each year.' Yet the interior of the great island, the 'Heart of Borneo,' remains the leading single harbor of Asia's tropical biodiversity.\n\nPreliminary analyses of the mapped information indicate this is a region of exceptional species richness and rarity for conifers and mammals.","The 18,307 islands of Indonesia (the estimated number varies according to criteria and technology) straddle 5,120 kilometers of latitude, from the western tip of Sumatra to Irian Jaya, the western half of New Guinea. Together, the archipelagoes contain a staggering amount of biodiversity. The southern three-fourths of Borneo, the world’s third-largest island, is part of Indonesia, while the northern one-fourth belongs respectively to Malaysia and the independent monarchy of Brunei. The island as a whole has lost a substantial fraction of its rain forest due to settlement and conversion to oil palm plantations. The damage has been what Science reported in 2007: “Palm oil plantations are spreading as sales of the biofuel soar, invasive acacia trees are on a rampage, and wildfires ravage the island each year.” Yet the interior of the great island, the “Heart of Borneo,” remains the leading single harbor of Asia’s tropical biodiversity."
newGuinea,"The world's second largest island (after Greenland), about eight hundred thousand square kilometers in area, is still mostly invested in rainforest, wetlands, and upland grasslands. Its terrestrial biodiversity is generally recognized as both the richest and least explored in the world. The hyperdiversity is enhanced by the complex array of mountains ranges, the tallest soaring to alpine zones above forty-seven hundred meters, where occur permanently ice-covered peaks.
","The world’s second largest island (after Greenland), about eight hundred thousand square kilometers in area, is still mostly invested in rain forest, wetlands, and upland grasslands. Its terrestrial biodiversity is generally recognized as both the richest and least explored in the world. The hyperdiversity is enhanced by the complex array of mountain ranges, the tallest soaring to alpine zones above forty-seven hundred meters, where occur permanently ice-covered peaks. New Guinea was an archipelago of smaller islands up to five million years ago, adding a secondary force that favored species formation. In 1955, as a twenty-five-year-old, I was the first to collect ants in a systematic fashion across parts of New Guinea. Today, if I were offered another six decades of healthy life but told I must spend it in one place as a naturalist, I would take New Guinea. No contest."
manu,"North of the river exists the most concentrated biodiversity on Earth, including a full array of New World larger mammals. A simple square kilometer can harbor the same number of species of frogs found in the entire continental United States, and twice the number of birds and butterflies.","Adrian Forsyth, a leading tropical biologist, has captured the magic of this region, “where the largest equatorial ice mass in the world, crowned by mighty Ausangate, towers above the rocky slopes and puna grasslands that turn into unroaded rain forests with the landscape then ranging down through trackless montane forest. It makes a compressed panorama visible in a single glance by anyone standing in the Amazonian lowlands of Madre de Dios.” North of the river exists the most concentrated biodiversity on Earth, including a full array of New World larger mammals. A simple square kilometer can harbor the same number of species of frogs found in the entire continental United States, and twice the number of birds and butterflies. The same distinction or better applies to the rain forests of Ecuador’s legendary Yasuni National Park, located still farther to the north."
atlanticForest,"Within their domains occur a wide variety of rare and unusual animals, including, as described by Mark Moffett, 'the most primitive porcupine; dancing frog and fruit-eating frog; the Alagoas curassow, the few remaining specimens of which roam the private properties of two bird lovers; the largest New World primate, the muriqui; the most colorful of all primates, the golden lion tamarin; the golden lancehead viper of Queimada Grande Island, where it reaches the highest density known for any snake (not surprisingly, no person lives on 'snake island')'.\n\nPreliminary analyses of the mapped information indicate this is also a region of exceptional species richness and rarity for amphibians.","Called the Mata Atlântica in Portuguese, this once vast and magnificent but now significantly reduced ecological system extends along the Brazilian Atlantic coast from Rio Grande do Norte state in the north to Rio Grande do Sul state in the south, with small extensions into Paraguay and Argentina (in other words, from the tip of Brazil’s “nose” to southeastern Paraguay). Its latitude and local wide variation in rainfall give it an exceptional variation in ecosystems, which range from tropical to subtropical forests, both moist and dry, as well as scrub forests and grasslands. Within their domains occur a wide variety of rare and unusual animals, including, as described by Mark Moffett, “the most primitive porcupine; dancing frog and fruit-eating frog; the Alagoas curassow, the few remaining specimens of which roam the private properties of two bird lovers; the largest New World primate, the muriqui; the most colorful of all primates, the golden lion tamarin; the golden lancehead viper of Queimada Grande Island, “where it reaches the highest density known for any snake (not surprisingly, no person lives on ‘snake island’)."
pantanal,"One of Earth's largest wetlands, mostly in southern Brazil but extending into Bolivia, this magnificent flood-plain is 80 percent underwater in the rainy season and is the year-round home to an immense variety of waterbird and insect life, as well as jaguars, capybaras, and other charismatic large mammals, including especially abundant crocodile-like caimans.","One of Earth’s largest wetlands, mostly in southern Brazil but extending into Bolivia, this magnificent floodplain is 80 percent underwater in the rainy season and is the year-round home to an immense variety of waterbird and insect life, as well as jaguars, capybaras, and other charismatic large mammals, including especially abundant crocodile-like caimans. Although designated as a World Heritage Site and increasingly popular with tourists, the Pantanal still supports a heavy burden of agriculture and cattle ranching."
kimberley,"The national parks and other, remote areas of this part of the continent are among the most biologically diverse and least disturbed regions. Experiencing a comeback in its unique but elsewhere endangered marsupial fauna, Kimberley is correcty called Australia's 'last great wilderness.'","The national parks and other, remote areas of this part of the continent are among its most biologically diverse and least disturbed regions. Experiencing a comeback in its unique but elsewhere endangered marsupial fauna, Kimberley is correctly called Australia’s “last great wilderness.”"
gorongosa,"The country's premier reserve has a full representation of southeastern African biodiversity due to the multifarious habitats found within it, including a mountain ridge rising to almost two thousand meters, and topped by rain forest, miombo dry forest, multiple rivers and streams, gorges with bottoms covered in rain forest and flanked by limestone cliffs, the latter riddled with mostly unexplored caves.","The country’s premier reserve has a full representation of southeastern African biodiversity due to the multifarious habitats found within it, including a mountain ridge rising to almost two thousand meters and topped by rain forest, miombo dry forest, multiple rivers and streams, and gorges with bottoms covered in rain forest and flanked by limestone cliffs, the latter riddled with still mostly unexplored caves. Gorongosa’s megafauna is rapidly regenerating after being driven to near extinction during the civil war of 1978–1992 followed by widespread poaching."
madagascar,"Being very big, ancient, and tropical, Madagascar harbors a very large and unique fauna and flora, with 70 percent or more of its species found nowhere else. Examples of evolutionary radiation in Madagascar's animals are the many, yet closely related, species of lemurs (primitive primates), chameleons, vangid shrikes, ranid frogs, and among the twelve thousand species of plants, complex palms, orchids, baobabs, and cactus-like Didiereaceae.","This huge island, the size of California and Arizona combined, located in the Indian Ocean four hundred kilometers off the coast of eastern Africa, has been isolated since it broke away 150 million years ago from the southern supercontinent of Gondwana. Being very big, ancient, and tropical, Madagascar harbors a very large and unique fauna and flora, with 70 percent or more of its species found nowhere else. (The most recent figure for the fourteen thousand plants is 90 percent.) Like Cuba, Hispaniola, and the Galápagos, Madagascar is a living laboratory for the observation of adaptive radiation, defined as the origin of a large array of species from a single species fortunate enough to colonize the island (in this case usually flying or floating over from Africa). Examples of evolutionary radiation in Madagascar’s animals are the many, yet closely related, species of lemurs (primitive primates), chameleons, vangid shrikes, ranid frogs, and, among the twelve thousand species of plants, complexes of palms, orchids, baobabs, and cactus-like Didiereaceae."
newCaledonia,"Today more than 80 percent of the native plant and animal species are found nowhere else, and many are markedly different from anything found elsewhere. New Caledonia even harbors elements that were present before it departed the Australia-plus-Antarctica landmass. It has the highest number of endemic families of plants, including those with archaic features, most famously Amborella, the most primitive flowering plant known on Earth.\n\nPreliminary analyses of the mapped information indicate this is a site of exceptional species richness and rarity for conifers. ","This remarkable island, subtropical and mountainous, has been isolated as a Gondwanan fragment for eighty million years. It was first joined with New Zealand, then broke off to drift completely alone toward the equator. Today more than 80 percent of the native plant and animal species are found nowhere else, and many are markedly different from anything found elsewhere. New Caledonia even harbors elements that were present before it departed the Australia-plus-Antarctica landmass. It has the highest number of endemic families of plants, including those with archaic features, most famously Amborella, the most primitive flowering plant known on Earth. Along mountain ridges are still mingled forests of Araucaria and Podocarpus, providing an environment resembling that which prevailed over most of Earth during the Mesozoic Era. I conducted research on the island during 1954 when I was a graduate student, then often had dreams of it during sleep, until I returned fifty-seven years later, in 2011. The magic was still the same for me in real life that it had been in 1954."
cerrado,"Covering a large part of east-central Brazil, the Cerrado is the largest savanna in South America and the most biodiversity-rich of any such tropical habitat in the world.","Covering a large part of east-central Brazil, the Cerrado is the largest savanna in South America and the most biodiversity-rich of any such tropical habitat in the world. Its luxurious variety of life derives from the sharply defined mosaic of ecosystems it comprises, from classic open grassland with scattered woodland copses to patches of tall, rain-forest-like trees, along with thick gallery forests that line its rivers. Unfortunately for biodiversity, its soil favors agriculture, and the Cerrado habitat is being rapidly cleared with as yet very little protection in reserves."
gibber,"The flat overflow lands of Sturt Stony Desert, located within the ultra-dry center of the continent, hold water only in the form of floods that occur many years apart. Abounding life emerges from dormancy at that time, drawing large flocks of waterbirds from far away. In between the errant rains the land is baked bone-dry, with knee-high sclerophyllous vegetation. Even when severe, it nevertheless teems with mostly hidden animal species.
","The flat overflow lands of Sturt Stony Desert, located within the ultra-dry center of the continent, hold water only in the form of floods that occur many years apart. Abounding life emerges from dormancy at that time, drawing large flocks of waterbirds from far away. In between the errant rains the land is baked bone-dry, with knee-high sclerophyllous vegetation. Even when severe, it nevertheless teems with mostly hidden animal species. Bruce Means has written of the Gibber habitats, “More often than we realize, the miracle of biodiversity is right under our noses, wherever we are."
swAustralia,"Possessing a mild, Mediterranean-type climate and molybdenum-deficient soil that excludes species other than those adapted to the deficiency, the scrublands have evolved much like the flora of an oceanic island.","From Esperance on the southwestern coast east to the edge of the Nullarbor Plain lies one of Earth’s richest endemic floras. Possessing a mild, Mediterranean-type climate and molybdenum-deficient soil that excludes species other than those adapted to the deficiency, the scrublands have evolved much like the flora of an oceanic island. Unfortunately for the biodiversity of Australia and that of the world generally, molybdenum added to the soil makes it arable, and a large fraction of the scrubland has been converted to farms and cattle ranches, accompanied by incursions of invasive weeds."
southAfrica,The country as a whole contains within its borders one of the world's several most abounding and distinctive assemblages of both animals and plants.,"The country as a whole contains within its borders one of the world’s several most abounding and distinctive assemblages of both animals and plants. Huge Kruger National Park in the northeast and other reserves are home to the most complete array of ten-kilogram-plus wildlife in Africa (including black and white rhinoceroses, both critically endangered). The Cape Floristic Region harbors nine thousand species, 69 percent found nowhere else, and one-fifth of all the plant species of Africa. Within the region are floras that form several unique major habitats, including the fynbos heathland, the succulent Karoo desert (shared with Namibia), and the archaic cycad forest of Limpopo Province."
siberia,"With an area of 31,722 square kilometers and a maximum depth of 1,642 meters, Lake Baikal is the oldest and deepest freshwater lake in the world. As expected from its volume, it also harbors a remarkably large fauna and flora for an isolated body in the high latitudes.","With an area of 31,722 square kilometers and maximum depth of 1,642 meters, Lake Baikal is the oldest and deepest freshwater lake in the world. As expected from its volume, it also harbors a remarkably large fauna and flora for an isolated body in the high latitudes. Of its approximately twenty-five hundred species of plants and animals, two-thirds are found nowhere else. Certain groups are represented by large numbers of species, including sculpins (fishes of the family Cottidae), sponges, snails, and amphipod crustaceans. Like the Galápagos Islands, Lake Baikal is both a sanctuary of biodiversity, in this case the most found in any freshwater lake, and a laboratory of evolution."
mcMurdo,"Here, in the most inhospitable ice-free land on Earth, a place rivaled in the poverty of its biodiversity only by the sere, rainless Atacama Desert of Chile, live just enough species to make a balanced ecosystem. Sparse traces of algae are the plants, and several species of nematodes, also commonly called roundworms, are variously herbivores and predators- what Diana Wall of Colorado State University calls the 'elephants and tigers' of the Antarctic soil. The simplicity of the material and energy cycle remind us that there exist organisms able to establish themselves almost anywhere. But as humanity scales down Earth's ecosystems, life will become progressively less interesting and more difficult to turn into a support system.","Here, in the most inhospitable ice-free land on Earth, a place rivaled in the poverty of its biodiversity only by the sere, rainless Atacama Desert of Chile, live just enough species to make a balanced ecosystem. Sparse traces of algae are the plants, and several species of nematodes, also commonly called roundworms, are variously herbivores and predators—what Diana Wall at Colorado State University calls the “elephants and tigers” of the Antarctic soil. The simplicity of the material and energy cycle reminds us that there exist organisms able to establish themselves almost anywhere. But as humanity scales down Earth’s ecosystems, life will become progressively less interesting and more difficult to turn into a support system."
bialowieza,"A large fraction of the large mammals of Europe live within its confines, including most notably the European bison (which more than once has narrowly escaped extinction), roe deer, elk, wild boar, tarpan (a Polish wild forest horse), lynx, wolf, otter, and ermine. The nine hundred vascular plant species present include some of the largest oaks ever recorded.","This is the largest remaining fragment of the primeval forest that once covered the flatlands of northwestern Europe up to the dawn of the Neolithic period. Straddling the border between Poland and Belarus, the protected land covers almost two thousand square kilometers. A large fraction of the large mammals of Europe live within its confines, including most notably the European bison (which more than once has narrowly escaped extinction), roe deer, elk, wild boar, tarpan (a Polish wild forest horse), lynx, wolf, otter, and ermine. The nine hundred vascular plant species present include some of the largest oaks ever recorded."
altai,"Covered at different elevations variously by steppes, nothern coniferous forests, and high alpine vegetation, it contains a living encyclopedia of cold temperate and arctic mammals, and is one of the few places in all of Eurasia that harbors a true Ice Age fauna.Herbivores abounding its slopes include wapiti, moose, reindeer, Siberian musk deer, roe deer, and wild boar. Among their predators are brown bears, wolves, lynx, snow leopards, and wolverines.","Towering 4,509 meters at maximum elevation, this beautiful and seldom-visited mountain range rises in Central Asia where Russia, China, Mongolia, and Kazakhstan meet. Covered at different elevations variously by steppes, northern coniferous forests, and high alpine vegetation, it contains a living encyclopedia of cold temperate and arctic mammals, and is one of the few places in all of Eurasia that harbors a true Ice Age fauna. Herbivores abounding on its slopes include wapiti, moose, reindeer, Siberian musk deer, roe deer, and wild boar. Among their predators are brown bear, wolves, lynx, snow leopards, and wolverines. It is also the place where the first fossils of the Denisovan human species were found."
madrean,One-fourth of Mexico's native species occur in these ancient woodlands; many are found nowhere else. Pine Forests in Michoacán are the famous wintering place of the monarch butterflies from the United States,"The rugged Madrean mountain chains of Mexico and the Sky Island heights of the southwestern United States are dominated by low, dry forests of pine and oak. One-fourth of Mexico’s native species occur in these ancient woodlands; many are found nowhere else. Pine forests in Michoacán are the famous wintering place of monarch butterflies from the United States. Of greatest importance is the role of woodlands as a corridor permitting north-south expansion of species between the United States, the Mexican Plateau, and the Cordilleras of Central America. Creating these and similar habitat corridors are one way of lessening the impact of climate change on biodiversity."
seUnitedStates,"Once the dominant tree of 60 percent of the land from Carolinas to eastern Texas, the longleaf savanna vegetation is adapted to frequent lightning-struck ground fires. The ground flora is one of the richest in North America, with as many as fifty herbaceous and shrubby species in a single square meter.","An increasing number of scientists and writers are turning their attention to this outwardly ordinary but remarkably rich and complex ecosystem. Once the dominant tree of 60 percent of the land from the Carolinas to eastern Texas, the longleaf savanna vegetation is adapted to frequent lightning-struck ground fires. The ground flora is one of the richest in North America, with as many as fifty herbaceous and shrubby species in a single hectare. Pitcher-plant bogs scattered through the longleaf woodland are in turn among the richest in the world, comprising up to fifty slender-stemmed species crowded into a square meter. The pine was almost entirely cut over during the past 150 years, but is now being reinstated to shelter the ground flora and fauna that survived its temporary disappearance. My own formative boyhood years were spent wandering through its remnants and the hardwood floodplain forests that dissect the region’s countless rivers and streams."
redWood,"In effect, mature redwood forests have created a new and mostly unexplored layer of life, within which exist species rare or absent elsewhere","Mark Moffett, an author and biodiversity expert, reports, “The most striking ecosystem within what’s called the California Floristic Province is a hot spot for species diversity. I have climbed redwoods and sequoias with the researchers working in the region, and have been awed by the crowns of these trees, which are so ecologically lavish that groves of smaller trees, hidden from the ground, can grow out of the soils that accumulate on their immense branches.” In effect, mature redwood forests have created a new and mostly unexplored layer of life, within which exist species rare or absent elsewhere. Scientists and adventurers can camp there, enthralled by the archetype of the giant tree that rises to a mythic world in the sky."
