slug,title,description
14,"Area near West, Cameroon","The region is made up of different habitats, including Cameroon Highlands forests, and Cross-Sanaga-Bioko coastal forests. This region contains some Intact Forest. The majority of the region has equatorial, with monsoonal rainfall. It also has areas of equatorial climate with dry winters. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 2.29Mha located in a mix of lowland and mountainous areas."
15,"Area between Indonesia and Malaysia, in Asia","The majority of the regions habitat is comprised of Borneo montane rain forests. It also includes areas of Borneo lowland rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 2.77Mha located in a mix of lowland and mountainous areas."
16,"Area in West Papua, Indonesia","The region is made up of different habitats, including Vogelkop montane rain forests, and Vogelkop-Aru lowland rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 1.74Mha located in a predominanty lowland area."
17,"Area near DR Congo, Africa","The region is made up of different habitats, including Albertine Rift montane forests, and Northeast Congolian lowland forests. This region contains some Intact Forest. The most common environmental conditions of the area are equatorial climate with dry winters. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 8.39Mha located in a mountainous area."
18,"Area near South Sulawesi, Indonesia","The majority of the regions habitat is comprised of Sulawesi montane rain forests. It also includes areas of Sulawesi lowland rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 1.74Mha located in a mix of lowland and mountainous areas."
19,"Area between Papua New Guinea and Indonesia, in Oceania","The region is made up of different habitats, including Central Range Papuan montane rain forests, and Southern New Guinea lowland rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 51.77Mha located in a predominanty lowland area."
20,"Area between Tanzania and Kenya, in Africa","The region is made up of different habitats, including Dry miombo woodlands, and Southern Acacia-Commiphora bushlands and thickets. This region contains some Intact Forest. The area has a predominantly equatorial climate with dry winters. It is part of the Tropical and Subtropical Grasslands, Savannas and Shrublands biome. The location is predominantly land area. Area of 11.69Mha located in a mix of lowland and mountainous areas."
21,"Area between Rio de Janeiro and Minas Gerais, Brazil",The majority of the regions habitat is comprised of Bahia interior forests. It also includes areas of Campos Rupestres montane savanna. This region has no Intact Forest. The majority of the region has warm and temperate climate with dry winters and hot summers. It also has areas of equatorial climate with dry winters. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 5.45Mha located in a mix of lowland and mountainous areas.
22,"Area between Paraná and São Paulo, Brazil","The region is made up of different habitats, including Araucaria moist forests, and Serra do Mar coastal forests. This region has no Intact Forest. The area has a predominantly warm and temperate climate with high humidity and hot summers. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 1.16Mha located in a mountainous area."
23,"Area between Auckland and Waikato, New Zealand",The regions habitat is comprised of Northland temperate kauri forests. This region has no Intact Forest. The area has a predominantly warm and temperate climate with high humidity and warm summers. It is part of the Temperate Broadleaf and Mixed Forests biome. The location is mostly land area with some marine area. Area of 2.33Mha located in a predominanty lowland area.
24,"Area in Southland, New Zealand","The region is made up of different habitats, including New Zealand South Island montane grasslands, and Fiordland temperate forests. This region contains some Intact Forest. The majority of the region has warm and temperate climate with high humidity and warm summers. It also has areas of warm and temperate climate with high humidity and cool summers. The majority of the region is comprised of Temperate Broadleaf and Mixed Forests. It also includes areas of Montane Grasslands and Shrublands. The location is mostly land area with some marine area. Area of 4.60Mha located in a predominanty lowland area."
25,Area in Fiji,"The majority of the regions habitat is comprised of Fiji tropical moist forests. It also includes areas of Fiji tropical dry forests. This region has no Intact Forest. The area has a predominantly equatorial, humid climate. The majority of the region is comprised of Tropical and Subtropical Moist Broadleaf Forests. It also includes areas of Tropical and Subtropical Dry Broadleaf Forests. The location is mostly land area with a large proportion of marine area. Area of 1.09Mha located in a predominanty lowland area."
26,"Marine area between France and New Caledonia, in Europe",The majority of the regions habitat is comprised of New Caledonia dry forests. It also includes areas of New Caledonia rain forests. This region has no Intact Forest. The area has a predominantly equatorial climate with dry winters. The majority of the region is comprised of Tropical and Subtropical Dry Broadleaf Forests. It also includes areas of Tropical and Subtropical Moist Broadleaf Forests. The location is mostly marine area with some land area. Area of 581.10kha located in a predominanty lowland area.
27,"Marine area between Cova Lima and Manufahi, East Timor",The regions habitat is comprised of Timor and Wetar deciduous forests. This region has no Intact Forest. The area has a predominantly equatorial climate with dry winters. It is part of the Tropical and Subtropical Dry Broadleaf Forests biome. The location is predominantly marine area. It has a total area of 547.67kha.
28,"Area in East Nusa Tenggara, Indonesia",The regions habitat is comprised of Sumba deciduous forests. This region has no Intact Forest. The area has a predominantly equatorial climate with dry winters. It is part of the Tropical and Subtropical Dry Broadleaf Forests biome. The location is mostly marine area with a large proportion of land area. Area of 547.67kha located in a predominanty lowland area.
29,"Area in Bahia, Brazil","The regions habitat is comprised of Bahia coastal forests. This region has no Intact Forest. The majority of the region has equatorial, humid climate. It also has areas of equatorial climate with dry winters. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 1.16Mha located in a predominanty lowland area."
30,"Area near Sofia, Madagascar","The majority of the regions habitat is comprised of Madagascar subhumid forests. It also includes areas of Madagascar dry deciduous forests. This region has no Intact Forest. The most common environmental conditions of the area are equatorial, with monsoonal rainfall. The majority of the region is comprised of Tropical and Subtropical Moist Broadleaf Forests. It also includes areas of Tropical and Subtropical Dry Broadleaf Forests. The location is predominantly land area. Area of 1.72Mha located in a predominanty lowland area."
31,"Area between East New Britain and West New Britain, Papua New Guinea","The majority of the regions habitat is comprised of New Britain-New Ireland montane rain forests. It also includes areas of New Britain-New Ireland lowland rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is mostly land area with a large proportion of marine area. Area of 545.58kha located in a predominanty lowland area."
32,"Area between Alagoas and Pernambuco, Brazil","The region is made up of different habitats, including Pernambuco coastal forests, and Pernambuco interior forests. This region has no Intact Forest. The majority of the region has equatorial climate with dry summers. It also has areas of equatorial, with monsoonal rainfall. The majority of the region is comprised of Tropical and Subtropical Moist Broadleaf Forests. It also includes areas of Tropical and Subtropical Dry Broadleaf Forests. The location is predominantly land area. Area of 1.08Mha located in a predominanty lowland area."
33,"Area near North Western Province, Sri Lanka","The regions habitat is comprised of Sri Lanka dry-zone dry evergreen forests. This region has no Intact Forest. The majority of the region has equatorial climate with dry summers. It also has areas of equatorial, humid climate. It is part of the Tropical and Subtropical Dry Broadleaf Forests biome. The location is predominantly land area. Area of 1.16Mha located in a predominanty lowland area."
34,"Area near India, Asia","The region is made up of different habitats, including Eastern Himalayan broadleaf forests, and Himalayan subtropical pine forests. This region has no Intact Forest. The majority of the region has warm and temperate climate with dry winters and warm summers. It also has areas of polar tundra climate. The region is made up of several types of biomes, including Temperate Broadleaf and Mixed Forests, and Tropical and Subtropical Coniferous Forests. The location is predominantly land area. Area of 542.23kha located in a mountainous area."
35,"Area between Quintana Roo and Yucatán, Mexico",The majority of the regions habitat is comprised of Yucat√°n dry forests. It also includes areas of Yucat√°n moist forests. This region has no Intact Forest. The area has a predominantly equatorial climate with dry winters. The majority of the region is comprised of Tropical and Subtropical Dry Broadleaf Forests. It also includes areas of Tropical and Subtropical Moist Broadleaf Forests. The location is predominantly land area. Area of 1.09Mha located in a lowland area.
36,"Area near San Luis Potosi, Mexico",The majority of the regions habitat is comprised of Meseta Central matorral. It also includes areas of Sierra Madre Oriental pine-oak forests. This region has no Intact Forest. The majority of the region has warm and temperate climate with dry winters and hot summers. It also has areas of equatorial climate with dry winters. The majority of the region is comprised of Deserts and Xeric Shrublands. It also includes areas of Tropical and Subtropical Coniferous Forests. The location is predominantly land area. Area of 1.16Mha located in a mountainous area.
37,"Area near Cambodia, Asia","The majority of the regions habitat is comprised of Southeast Indochina dry evergreen forests. It also includes areas of Central Indochina dry forests. This region has no Intact Forest. The majority of the region has equatorial climate with dry winters. It also has areas of equatorial, with monsoonal rainfall. It is part of the Tropical and Subtropical Dry Broadleaf Forests biome. The location is predominantly land area. Area of 2.85Mha located in a predominanty lowland area."
38,"Area between Pahang and Terengganu, Malaysia","The regions habitat is comprised of Peninsular Malaysian rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 581.04kha located in a predominanty lowland area."
39,"Area near Riau, Indonesia","The regions habitat is comprised of Sumatran lowland rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 1.16Mha located in a predominanty lowland area."
40,"Area near Myanmar, Asia","The region is made up of different habitats, including Northern Triangle subtropical forests, and Nujiang Langcang Gorge alpine conifer and mixed forests. This region contains some Intact Forest. The majority of the region has warm and temperate climate with dry winters and warm summers. It also has areas of warm and temperate climate with dry winters and hot summers. The majority of the region is comprised of Tropical and Subtropical Moist Broadleaf Forests. It also includes areas of Temperate Conifer Forests. The location is predominantly land area. Area of 12.73Mha located in a mountainous area."
41,"Area between South Lower California and Baja California, Mexico",The majority of the regions habitat is comprised of Baja California desert. It also includes areas of Gulf of California xeric scrub. This region has no Intact Forest. The area has a predominantly arid desert climate with hot temperatures. It is part of the Deserts and Xeric Shrublands biome. The location is mostly land area with some marine area. Area of 2.33Mha located in a predominanty lowland area.
42,"Area in South Lower California, Mexico",The majority of the regions habitat is comprised of Baja California desert. It also includes areas of Gulf of California xeric scrub. This region has no Intact Forest. The area has a predominantly arid desert climate with hot temperatures. It is part of the Deserts and Xeric Shrublands biome. The location is mostly land area with some marine area. Area of 2.33Mha located in a predominanty lowland area.
43,"Area near Vietnam, Asia","The region is made up of different habitats, including Northern Indochina subtropical forests, and Northern Annamites rain forests. This region contains some Intact Forest. The majority of the region has warm and temperate climate with dry winters and hot summers. It also has areas of equatorial climate with dry winters. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 20.21Mha located in a predominanty lowland area."
44,"Area between Mexico and Chiapas, Mexico","The region is made up of different habitats, including Trans-Mexican Volcanic Belt pine-oak forests, and Balsas dry forests. This region contains some Intact Forest. The most common environmental conditions of the area are warm and temperate climate with dry winters and warm summers. The region is made up of several types of biomes, including Tropical and Subtropical Coniferous Forests, and Tropical and Subtropical Dry Broadleaf Forests. The location is predominantly land area. Area of 27.32Mha located in a mountainous area."
45,"Area near Guatemala, North America","The region is made up of different habitats, including Central American pine-oak forests, and Pet√©n-Veracruz moist forests. This region contains some Intact Forest. The most common environmental conditions of the area are equatorial climate with dry winters. The region is made up of several types of biomes, including Tropical and Subtropical Coniferous Forests, and Tropical and Subtropical Moist Broadleaf Forests. The location is predominantly land area. Area of 17.11Mha located in a mix of lowland and mountainous areas."
46,"Area near Nueva Vizcaya, Philippines","The regions habitat is comprised of Luzon rain forests. This region contains some Intact Forest. The most common environmental conditions of the area are equatorial, with monsoonal rainfall. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is mostly land area with some marine area. Area of 5.92Mha located in a predominanty lowland area."
47,"Area near Bukidnon, Philippines","The regions habitat is comprised of Mindanao-Eastern Visayas rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is mostly land area with some marine area. Area of 6.36Mha located in a predominanty lowland area."
48,"Area near Costa Rica, North America","The region is made up of different habitats, including Isthmian-Atlantic moist forests, and Isthmian-Pacific moist forests. This region contains some Intact Forest. The most common environmental conditions of the area are equatorial, with monsoonal rainfall. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is mostly land area with some marine area. Area of 12.70Mha located in a predominanty lowland area."
49,"Area near Peru, South America","The region is made up of different habitats, including Peruvian Yungas, and Magdalena Valley montane forests. This region contains some Intact Forest. The most common environmental conditions of the area are equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 113.86Mha located in a mix of lowland and mountainous areas."
50,Area of interest,"The region is made up of different habitats, including Central Range Papuan montane rain forests, and Northern New Guinea lowland rain and freshwater swamp forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 52.38Mha located in a predominanty lowland area."
51,"Area near Liberia, Africa",The regions habitat is comprised of Western Guinean lowland forests. This region has no Intact Forest. The area has a predominantly equatorial climate with dry winters. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 2.26Mha located in a predominanty lowland area.
52,"Area in Oromia Region, Ethiopia","The region is made up of different habitats, including Ethiopian montane grasslands and woodlands, and Somali Acacia-Commiphora bushlands and thickets. This region has no Intact Forest. The majority of the region has warm and temperate climate with high humidity and warm summers. It also has areas of warm and temperate climate with dry winters and warm summers. The region is made up of several types of biomes, including Montane Grasslands and Shrublands, and Tropical and Subtropical Grasslands, Savannas and Shrublands. The location is predominantly land area. Area of 2.92Mha located in a mountainous area."
53,"Area near Central Province, Sri Lanka","The majority of the regions habitat is comprised of Sri Lanka dry-zone dry evergreen forests. It also includes areas of Sri Lanka lowland rain forests. This region has no Intact Forest. The most common environmental conditions of the area are equatorial, humid climate. The majority of the region is comprised of Tropical and Subtropical Dry Broadleaf Forests. It also includes areas of Tropical and Subtropical Moist Broadleaf Forests. The location is predominantly land area. Area of 2.29Mha located in a predominanty lowland area."
54,"Area between Cameroon and Nigeria, in Africa","The region is made up of different habitats, including Cross-Sanaga-Bioko coastal forests, and Cameroon Highlands forests. This region contains some Intact Forest. The majority of the region has equatorial, with monsoonal rainfall. It also has areas of equatorial climate with dry winters. The majority of the region is comprised of Tropical and Subtropical Moist Broadleaf Forests. It also includes areas of Tropical and Subtropical Grasslands, Savannas and Shrublands. The location is predominantly land area. Area of 12.85Mha located in a predominanty lowland area."
55,"Area near Indonesia, Asia","The majority of the regions habitat is comprised of Borneo lowland rain forests. It also includes areas of Borneo montane rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 11.55Mha located in a predominanty lowland area."
56,"Area between Indonesia and Malaysia, in Asia","The regions habitat is comprised of Peninsular Malaysian rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 4.69Mha located in a predominanty lowland area."
57,"Area between North Sumatra and Aceh, Indonesia","The majority of the regions habitat is comprised of Sumatran montane rain forests. It also includes areas of Sumatran lowland rain forests. This region contains Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 590.55kha located in a mix of lowland and mountainous areas."
58,"Area near Democratic Republic of the Congo, Africa",The majority of the regions habitat is comprised of Albertine Rift montane forests. It also includes areas of Northeast Congolian lowland forests. This region contains some Intact Forest. The most common environmental conditions of the area are equatorial climate with dry winters. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 13.99Mha located in a mountainous area.
59,"Area near Laikipia, Kenya","The regions habitat is comprised of Northern Acacia-Commiphora bushlands and thickets. This region has no Intact Forest. The majority of the region has equatorial climate with dry winters. It also has areas of warm and temperate climate with high humidity and warm summers. It is part of the Tropical and Subtropical Grasslands, Savannas and Shrublands biome. The location is predominantly land area. Area of 1.74Mha located in a mountainous area."
60,"Area near West Sumatra, Indonesia","The region is made up of different habitats, including Sumatran montane rain forests, and Sumatran tropical pine forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 1.16Mha located in a mix of lowland and mountainous areas."
61,"Area near South Sulawesi, Indonesia","The majority of the regions habitat is comprised of Sulawesi montane rain forests. It also includes areas of Sulawesi lowland rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is mostly land area with some marine area. Area of 11.67Mha located in a predominanty lowland area."
62,"Area in West Papua, Indonesia","The region is made up of different habitats, including Vogelkop montane rain forests, and Vogelkop-Aru lowland rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 590.62kha located in a predominanty lowland area."
63,"Area between Kenya and Tanzania, in Africa","The region is made up of different habitats, including Northern Acacia-Commiphora bushlands and thickets, and Dry miombo woodlands. This region contains some Intact Forest. The majority of the region has equatorial climate with dry winters. It also has areas of semi-arid climate with hot temperatures. It is part of the Tropical and Subtropical Grasslands, Savannas and Shrublands biome. The location is predominantly land area. Area of 16.54Mha located in a predominanty lowland area."
64,"Area between Madagascar and Comoros, in Africa","The region is made up of different habitats, including Madagascar subhumid forests, and Madagascar humid forests. This region contains some Intact Forest. The most common environmental conditions of the area are equatorial climate with dry winters. The majority of the region is comprised of Tropical and Subtropical Moist Broadleaf Forests. It also includes areas of Tropical and Subtropical Dry Broadleaf Forests. The location is predominantly land area. Area of 53.20Mha located in a predominanty lowland area."
65,"Area in Queensland, Australia","The regions habitat is comprised of Einasleigh upland savanna. This region contains some Intact Forest. The most common environmental conditions of the area are equatorial climate with dry winters. It is part of the Tropical and Subtropical Grasslands, Savannas and Shrublands biome. The location is predominantly land area. Area of 2.84Mha located in a predominanty lowland area."
66,"Area between Rio de Janeiro and Minas Gerais, Brazil",The majority of the regions habitat is comprised of Bahia interior forests. It also includes areas of Alto Paran√° Atlantic forests. This region has no Intact Forest. The majority of the region has warm and temperate climate with dry winters and hot summers. It also has areas of equatorial climate with dry winters. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 7.08Mha located in a mix of lowland and mountainous areas.
67,"Area between Argentina and Bolivia, in South america","The region is made up of different habitats, including Dry Chaco, and High Monte. This region contains some Intact Forest. The most common environmental conditions of the area are warm and temperate climate with dry winters and hot summers. The region is made up of several types of biomes, including Montane Grasslands and Shrublands, and Tropical and Subtropical Grasslands, Savannas and Shrublands. The location is predominantly land area. Area of 14.83Mha located in a mountainous area."
68,"Area between Mza. and SJ, Argentina","The region is made up of different habitats, including Low Monte, and Southern Andean steppe. This region has no Intact Forest. The majority of the region has arid desert climate with cold temperatures. It also has areas of semi-arid climate with cold temperatures. The majority of the region is comprised of Montane Grasslands and Shrublands. It also includes areas of Temperate Grasslands, Savannas and Shrublands. The location is predominantly land area. Area of 1.73Mha located in a mountainous area."
69,"Area between Argentina and Chile, in South america","The majority of the regions habitat is comprised of Valdivian temperate forests. It also includes areas of Patagonian steppe. This region contains some Intact Forest. The area has a predominantly warm and temperate climate with dry summers. The majority of the region is comprised of Temperate Broadleaf and Mixed Forests. It also includes areas of Temperate Grasslands, Savannas and Shrublands. The location is predominantly land area. Area of 562.91kha located in a mountainous area."
70,"Area between Paraná and São Paulo, Brazil","The region is made up of different habitats, including Alto Paran√° Atlantic forests, and Serra do Mar coastal forests. This region contains some Intact Forest. The area has a predominantly warm and temperate climate with high humidity and hot summers. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 1.73Mha located in a mix of lowland and mountainous areas."
71,"Area in West Java, Indonesia","The majority of the regions habitat is comprised of Western Java montane rain forests. It also includes areas of Western Java rain forests. This region has no Intact Forest. The majority of the region has equatorial, humid climate. It also has areas of equatorial, with monsoonal rainfall. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 545.61kha located in a predominanty lowland area."
72,"Area in Requena, Loreto, Peru","The majority of the regions habitat is comprised of Southwest Amazon moist forests. It also includes areas of Iquitos v√°rzea. This region contains Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 545.55kha located in a predominanty lowland area."
73,"Area in Tamil Nadu, India",The regions habitat is comprised of South Deccan Plateau dry deciduous forests. This region has no Intact Forest. The area has a predominantly equatorial climate with dry winters. It is part of the Tropical and Subtropical Dry Broadleaf Forests biome. The location is predominantly land area. Area of 1.16Mha located in a predominanty lowland area.
74,"Area in Sichuan, PRC",The regions habitat is comprised of Southeast Tibet shrublands and meadows. This region has no Intact Forest. The majority of the region has snowy climate with dry winters and cool summers. It also has areas of snowy climate with dry winters and warm summers. It is part of the Montane Grasslands and Shrublands biome. The location is predominantly land area. Area of 581.58kha located in a mountainous area.
75,"Area in Sichuan, PRC",The majority of the regions habitat is comprised of Qionglai-Minshan conifer forests. It also includes areas of Southeast Tibet shrublands and meadows. This region contains some Intact Forest. The majority of the region has warm and temperate climate with dry winters and warm summers. It also has areas of snowy climate with dry winters and warm summers. The majority of the region is comprised of Temperate Conifer Forests. It also includes areas of Montane Grasslands and Shrublands. The location is predominantly land area. Area of 2.34Mha located in a mountainous area.
76,"Marine area in Ensenada, Baja California, Mexico",The majority of the region has semi-arid climate with hot temperatures. It also has areas of arid desert climate with hot temperatures. The location is predominantly marine area. It has a total area of 569.14kha.
77,"Marine area between North Sulawesi and Central Sulawesi, Indonesia","The regions habitat is comprised of Sulawesi lowland rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is mostly marine area with some land area. Area of 589.06kha located in a predominanty lowland area."
78,"Marine area between Gorontalo and North Sulawesi, Indonesia","The majority of the regions habitat is comprised of Sulawesi lowland rain forests. It also includes areas of Sulawesi montane rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly marine area. Area of 589.00kha located in a predominanty lowland area."
79,"Area near Riau, Indonesia","The regions habitat is comprised of Sumatran lowland rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 606.55kha located in a predominanty lowland area."
80,"Area in Tshopo, Democratic Republic of the Congo","The regions habitat is comprised of Northeast Congolian lowland forests. This region contains a large amount of Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 580.93kha located in a mix of lowland and mountainous areas."
81,"Area in West Kalimantan, Indonesia","The regions habitat is comprised of Borneo lowland rain forests. This region has no Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 545.34kha located in a predominanty lowland area."
